birthday,age,startDate,parttimePercentage,hometown,gender,disciplineWithLevel,office,organisationalUnit,fulltimeOrParttime,birthplace,birthcountry
19/10/1975,42,11/3/2013,100,Woudenberg,Man,Developer,Amersfoort,Development Eindhoven eFocus,Fulltimer,Nijmegen,België
21/5/1989,28,10/4/2017,100,Sevenum,Man,Developer,Eindhoven,Development Eindhoven eFocus,Fulltimer,,Nigeria
18/7/1983,34,1/8/2015,100,Amsterdam,Man,Developer,Utrecht,Development Amsterdam eFocus,Fulltimer,Wageningen,Nederland
4/12/1988,29,1/7/2013,100,Utrecht,Man,Developer,Utrecht,Development Utrecht eFocus,Fulltimer,Leusden,Roemenië
22/11/1983,34,1/9/2016,100,Utrecht,Man,Developer,Utrecht,Development Amersfoort eFocus,Fulltimer,Mugla,Griekenland
17/6/1976,41,1/12/2009,100,Leusden,Man,QA Specialist,Amersfoort,Development Eindhoven eFocus,Fulltimer,Leusden,Nigeria
9/10/1978,39,1/3/2015,80,Leusden,Man,Developer,Amersfoort,Development Amsterdam eFocus,Fulltimer,Bunschoten Spakenburg,Nederland
10/2/1978,39,7/4/2014,60,Utrecht,Man,Content Producer,Utrecht,Strategie en OM Utrecht eFocus,Parttimer,Dirksland,Nederland
5/5/1982,35,1/4/2017,80,Utrecht,Man,Digital Marketeer,Utrecht,Strategie en OM Eindhoven eFocus,Parttimer,Ammerzoden,Nederland
12/3/1988,29,19/7/2012,90,Driebergen-Rijsenburg,Man,Developer,Amersfoort,Development Utrecht eFocus,Parttimer,Amsterdam,Nederland
18/7/1990,27,1/1/2012,100,Utrecht,Man,Cloud Engineer,Amsterdam,Development Amersfoort eFocus,Fulltimer,Odijk,Nederland
17/9/1988,29,1/12/2017,100,'s-Hertogenbosch,Man,Developer,Utrecht,Development Amersfoort eFocus,Fulltimer,'s-Hertogenbosch,Spanje
18/11/1991,26,16/4/2012,100,Helmond,Vrouw,Digital Marketeer,Utrecht,Strategie en OM Amsterdam eFocus,Oproepkracht,Eindhoven,
9/9/1977,40,1/10/2007,85,Vleuten,Vrouw,Projectmanager,Utrecht,PM en SM Utrecht eFocus,Parttimer,Roosendaal,Nederland
4/10/1988,29,1/4/2013,0,Utrecht,Man,QA Specialist,Utrecht,Development Utrecht eFocus,Oproepkracht,,Nederland
6/11/1990,27,28/8/2017,100,Amsterdam,Man,Managing Director,Amsterdam,eFocus,Fulltimer,Amsterdam,Nederland
13/9/1963,54,1/4/2015,100,Veghel,Man,Senior developer,Eindhoven,Development Amersfoort eFocus,Fulltimer,Schijndel,Nederland
1/6/1990,27,1/1/2014,100,Almere,Man,Senior projectmanager,Utrecht,PM en SM Utrecht eFocus,Fulltimer,Amsterdam,Nederland
20/7/1991,26,1/4/2015,100,IJsselstein Ut,Man,Senior Front-end Developer,Amersfoort,Creatie Amsterdam eFocus,Oproepkracht,Utrecht,
18/4/1977,40,1/9/2016,100,Eindhoven,Vrouw,Accountmanager,Eindhoven,Sales & accountmanagement,Fulltimer,Oss,Nederland
13/12/1979,38,1/7/2017,100,Amsterdam,Vrouw,Digital Marketing Analist,Amsterdam,Creatie Utrecht eFocus,Fulltimer,,Griekenland
7/7/1976,41,13/6/2016,100,Utrecht,Man,Program Director,Eindhoven,PM en SM Amersfoort eFocus,Fulltimer,Eindhoven,Nederland
27/9/1987,30,1/7/2007,80,Bavel,Man,Front-end Developer,Utrecht,Creatie Utrecht eFocus,Parttimer,Bavel,Nederland
15/5/1985,32,1/2/2017,100,Utrecht,Man,Cloud Engineer,Utrecht,Development Amsterdam eFocus,Fulltimer,Leiderdorp,Nederland
29/4/1977,40,1/6/2014,100,Amsterdam,Man,QA Specialist,Amsterdam,Development Amersfoort eFocus,Fulltimer,Woerden,Nederland
16/10/1985,32,1/9/2017,100,Amersfoort,Man,Accountmanager,Amersfoort,Sales & accountmanagement,Fulltimer,Utrecht,Nederland
17/6/1985,32,1/9/2010,100,Hamont-Achel,Man,Service Coördinator,Eindhoven,PM en SM Utrecht eFocus,Fulltimer,Neerpelt,Nederland
29/4/1965,52,19/5/2014,90,Tilburg,Man,Business Analyst,Eindhoven,Development Utrecht eFocus,Parttimer,Zwijndrecht,Nederland
2/9/1982,35,1/2/2015,100,Amsterdam,Vrouw,Stagiair,Amsterdam,Creatie Amersfoort eFocus,Stagiair,Eindhoven,Nederland
15/7/1987,30,15/9/2016,100,Zeist,Man,Account Director,Amersfoort,Sales & accountmanagement,Parttimer,Arnhem,Nederland
22/10/1980,37,1/5/2015,100,Utrecht,Man,UX Designer,Utrecht,Creatie Amersfoort eFocus,Fulltimer,Utrecht,Nederland
10/1/1985,32,1/9/2011,100,Amersfoort,Man,Developer,Utrecht,Development Amsterdam eFocus,Oproepkracht,Zoetermeer,
20/9/1984,33,1/8/2015,100,Utrecht,Man,Account Director,Utrecht,Sales & accountmanagement,Fulltimer,Moordrecht,Nederland
10/7/1982,35,10/6/2013,80,Utrecht,Vrouw,Technical QA Specialist,Utrecht,Development Utrecht eFocus,Parttimer,Dalfsen,Oekraine
9/12/1981,36,1/9/2015,90,Nieuwerkerk ad IJssel,Man,Projectmanager,Utrecht,PM en SM Utrecht eFocus,Fulltimer,Gouda,Nederland
29/5/1979,38,1/7/2014,100,Amsterdam,Man,Projectmanager,Amsterdam,PM en SM Amsterdam eFocus,Oproepkracht,Onderdijk,
13/11/1987,30,1/7/2017,100,Hilversum,Vrouw,Service Coördinator,Amersfoort,PM en SM Eindhoven eFocus,Fulltimer,Hoogeveen,Nederland
19/7/1982,35,1/2/2017,80,Weert,Man,Cloud Engineer,Eindhoven,Development Eindhoven eFocus,Parttimer,Venlo,België
28/12/1985,31,1/11/2016,100,Utrecht,Man,Digital Marketeer,Utrecht,Strategie en OM Utrecht eFocus,Fulltimer,Oss,Nederland
17/7/1990,27,1/5/2012,100,Krommenie,Man,Senior projectmanager,Amsterdam,PM en SM Amsterdam eFocus,Fulltimer,Geffen,Nederland
16/8/1989,28,1/10/2016,100,Tilburg,Vrouw,Content Producer,Eindhoven,Creatie Utrecht eFocus,Fulltimer,Banja Luka,Nederland
8/10/1992,25,1/12/2012,100,Naarden,Vrouw,Content Producer,Utrecht,Creatie Utrecht eFocus,Fulltimer,Helmond,Nederland
1/7/1992,25,1/4/2016,100,Best,Man,Developer,Eindhoven,Development Eindhoven eFocus,Oproepkracht,Eindhoven,
10/3/1987,30,10/9/2007,80,Rosmalen,Vrouw,Business Analyst,Utrecht,Development Amersfoort eFocus,Fulltimer,Berlicum NB,Nederland
30/7/1990,27,9/12/2013,100,Nunspeet,Man,Developer,Amersfoort,Development Amsterdam eFocus,Fulltimer,Amsterdam,Germany
27/3/1984,33,21/11/2017,100,Amersfoort,Man,QA Specialist,Amersfoort,Development Utrecht eFocus,Fulltimer,Benevento,Nederland
6/2/1975,42,1/1/2014,80,Vleuten,Vrouw,Content Producer,Amersfoort,Creatie Utrecht eFocus,Parttimer,Utrecht,Nederland
